embedder,classifier,train_language,test_language,accuracy,precision,recall,f1
TFIDFEmbedder,LogisticRegressionClassifier,english,english,0.49195402298850577,0.49742445054945056,0.49195402298850577,0.48843362989092326
TFIDFEmbedder,LogisticRegressionClassifier,english,german,0.34942528735632183,0.3613091593761051,0.3494252873563218,0.3243488218035429
TFIDFEmbedder,LogisticRegressionClassifier,english,arabic,0.332183908045977,0.3235129740518962,0.332183908045977,0.19128042328042327
TFIDFEmbedder,LogisticRegressionClassifier,english,portuguese,0.32298850574712645,0.28148945528624675,0.32298850574712645,0.22536651507201877
TFIDFEmbedder,LogisticRegressionClassifier,german,english,0.40344827586206894,0.41140414962010524,0.40344827586206894,0.38368910782703886
TFIDFEmbedder,LogisticRegressionClassifier,german,german,0.5333333333333333,0.535459095084084,0.5333333333333333,0.5311778466833029
TFIDFEmbedder,LogisticRegressionClassifier,german,arabic,0.3413793103448276,0.34291876347951117,0.34137931034482755,0.18734124721372658
TFIDFEmbedder,LogisticRegressionClassifier,german,portuguese,0.35747126436781607,0.36642199472023695,0.3574712643678161,0.293019044403348
TFIDFEmbedder,LogisticRegressionClassifier,arabic,english,0.332183908045977,0.3279210332781761,0.332183908045977,0.21794109840063494
TFIDFEmbedder,LogisticRegressionClassifier,arabic,german,0.32298850574712645,0.33219022969912654,0.32298850574712645,0.1779757678556428
TFIDFEmbedder,LogisticRegressionClassifier,arabic,arabic,0.4045977011494253,0.40637821056200724,0.4045977011494253,0.4002622399098866
TFIDFEmbedder,LogisticRegressionClassifier,arabic,portuguese,0.32988505747126434,0.20608243297318926,0.32988505747126434,0.18495330730415324
TFIDFEmbedder,LogisticRegressionClassifier,portuguese,english,0.3701149425287356,0.37646837032077013,0.3701149425287356,0.3586424509333899
TFIDFEmbedder,LogisticRegressionClassifier,portuguese,german,0.3586206896551724,0.362796980939589,0.3586206896551724,0.3016149393742827
TFIDFEmbedder,LogisticRegressionClassifier,portuguese,arabic,0.3333333333333333,0.25409745293466224,0.3333333333333333,0.17311081832820963
TFIDFEmbedder,LogisticRegressionClassifier,portuguese,portuguese,0.5770114942528736,0.575371863842518,0.5770114942528736,0.5748473578219431
TFIDFEmbedder,MLPClassifier,english,english,0.49195402298850577,0.49512455452246124,0.49195402298850577,0.49093490823850455
TFIDFEmbedder,MLPClassifier,english,german,0.332183908045977,0.3427864956669621,0.33218390804597697,0.3073997004665655
TFIDFEmbedder,MLPClassifier,english,arabic,0.32413793103448274,0.26937628281714304,0.3241379310344828,0.17943557243207506
TFIDFEmbedder,MLPClassifier,english,portuguese,0.31839080459770114,0.2906203408538645,0.31839080459770114,0.23485394728438616
TFIDFEmbedder,MLPClassifier,german,english,0.367816091954023,0.373483915783265,0.367816091954023,0.35603419032019734
TFIDFEmbedder,MLPClassifier,german,german,0.5195402298850574,0.525578231292517,0.5195402298850574,0.5197268801863645
TFIDFEmbedder,MLPClassifier,german,arabic,0.3425287356321839,0.41890574411582815,0.34252873563218394,0.20203812272991725
TFIDFEmbedder,MLPClassifier,german,portuguese,0.3620689655172414,0.3515344041588071,0.3620689655172413,0.31986502894431285
TFIDFEmbedder,MLPClassifier,arabic,english,0.3367816091954023,0.33472190332983676,0.3367816091954023,0.23263241673402232
TFIDFEmbedder,MLPClassifier,arabic,german,0.32068965517241377,0.3125268817204301,0.3206896551724138,0.17912588243156422
TFIDFEmbedder,MLPClassifier,arabic,arabic,0.40229885057471265,0.4025438259092833,0.40229885057471265,0.4001131324956521
TFIDFEmbedder,MLPClassifier,arabic,portuguese,0.32988505747126434,0.28928141653773426,0.32988505747126434,0.1869195556719451
TFIDFEmbedder,MLPClassifier,portuguese,english,0.36091954022988504,0.36762115009537694,0.3609195402298851,0.3466590277084809
TFIDFEmbedder,MLPClassifier,portuguese,german,0.35517241379310344,0.3621416930303902,0.35517241379310344,0.29816237340509183
TFIDFEmbedder,MLPClassifier,portuguese,arabic,0.3333333333333333,0.25925925925925924,0.3333333333333333,0.17500456418802124
TFIDFEmbedder,MLPClassifier,portuguese,portuguese,0.5448275862068965,0.5437567396330283,0.5448275862068965,0.5440064062903077
TFIDFEmbedder,XLMRClassifierHead,english,english,0.49195402298850577,0.49716212399150855,0.4919540229885057,0.4900732474044558
TFIDFEmbedder,XLMRClassifierHead,english,german,0.3367816091954023,0.35057057520322593,0.3367816091954023,0.31405154373063904
TFIDFEmbedder,XLMRClassifierHead,english,arabic,0.32988505747126434,0.3150359468048998,0.32988505747126434,0.19064745372898836
TFIDFEmbedder,XLMRClassifierHead,english,portuguese,0.32413793103448274,0.2941642367863797,0.3241379310344828,0.2410334723439165
TFIDFEmbedder,XLMRClassifierHead,german,english,0.3839080459770115,0.3916803481052642,0.38390804597701145,0.3692480499537984
TFIDFEmbedder,XLMRClassifierHead,german,german,0.5275862068965518,0.52826002097205,0.5275862068965517,0.5270974371898733
TFIDFEmbedder,XLMRClassifierHead,german,arabic,0.3390804597701149,0.4092542677448338,0.3390804597701149,0.1905848701618639
TFIDFEmbedder,XLMRClassifierHead,german,portuguese,0.34942528735632183,0.3505414874980093,0.3494252873563219,0.2910874847232325
TFIDFEmbedder,XLMRClassifierHead,arabic,english,0.335632183908046,0.3300493182477517,0.335632183908046,0.22913505782862828
TFIDFEmbedder,XLMRClassifierHead,arabic,german,0.32068965517241377,0.30198412698412697,0.3206896551724138,0.17712536390739422
TFIDFEmbedder,XLMRClassifierHead,arabic,arabic,0.4114942528735632,0.4125116988337549,0.4114942528735632,0.40905934596898774
TFIDFEmbedder,XLMRClassifierHead,arabic,portuguese,0.3310344827586207,0.20915032679738563,0.3310344827586207,0.1854634389233045
TFIDFEmbedder,XLMRClassifierHead,portuguese,english,0.3724137931034483,0.37622791731799676,0.3724137931034483,0.36097364257950165
TFIDFEmbedder,XLMRClassifierHead,portuguese,german,0.35747126436781607,0.36154600440314727,0.3574712643678161,0.30564404739942136
TFIDFEmbedder,XLMRClassifierHead,portuguese,arabic,0.3333333333333333,0.25925925925925924,0.3333333333333333,0.17500456418802124
TFIDFEmbedder,XLMRClassifierHead,portuguese,portuguese,0.5563218390804597,0.5550955098664466,0.5563218390804597,0.5555517953632809
BERTEmbedder,LogisticRegressionClassifier,english,english,0.5344827586206896,0.5438353360684899,0.5344827586206896,0.5339476265671356
BERTEmbedder,LogisticRegressionClassifier,english,german,0.4218390804597701,0.42291149710504555,0.4218390804597701,0.42175483650059925
BERTEmbedder,LogisticRegressionClassifier,english,arabic,0.503448275862069,0.5344554503452285,0.503448275862069,0.5010945142717936
BERTEmbedder,LogisticRegressionClassifier,english,portuguese,0.36666666666666664,0.38344351726419196,0.3666666666666667,0.3385153085751888
BERTEmbedder,LogisticRegressionClassifier,german,english,0.503448275862069,0.5132949689931599,0.503448275862069,0.5013970812227014
BERTEmbedder,LogisticRegressionClassifier,german,german,0.5551724137931034,0.5557915384704311,0.5551724137931034,0.5548560655187997
BERTEmbedder,LogisticRegressionClassifier,german,arabic,0.45057471264367815,0.4610099051938115,0.45057471264367815,0.3991186996557565
BERTEmbedder,LogisticRegressionClassifier,german,portuguese,0.4011494252873563,0.40434944485319174,0.40114942528735636,0.3972156496050732
BERTEmbedder,LogisticRegressionClassifier,arabic,english,0.4689655172413793,0.5114765723934149,0.46896551724137936,0.4480033847765645
BERTEmbedder,LogisticRegressionClassifier,arabic,german,0.38045977011494253,0.38165259767201515,0.38045977011494253,0.36192158557016607
BERTEmbedder,LogisticRegressionClassifier,arabic,arabic,0.4482758620689655,0.45365458872989683,0.4482758620689655,0.449425140162715
BERTEmbedder,LogisticRegressionClassifier,arabic,portuguese,0.3850574712643678,0.38543044945826227,0.3850574712643678,0.371058151354347
BERTEmbedder,LogisticRegressionClassifier,portuguese,english,0.43448275862068964,0.4796610107007704,0.43448275862068964,0.4249126654162469
BERTEmbedder,LogisticRegressionClassifier,portuguese,german,0.42298850574712643,0.43505191863165343,0.4229885057471265,0.4108881543890963
BERTEmbedder,LogisticRegressionClassifier,portuguese,arabic,0.432183908045977,0.5334143642355628,0.432183908045977,0.3567171699884186
BERTEmbedder,LogisticRegressionClassifier,portuguese,portuguese,0.5298850574712644,0.5278056783179322,0.5298850574712644,0.5282413507051188
BERTEmbedder,MLPClassifier,english,english,0.5563218390804597,0.6124725801270371,0.5563218390804597,0.5588957048915444
BERTEmbedder,MLPClassifier,english,german,0.4459770114942529,0.45771622564883563,0.4459770114942529,0.44603790321190767
BERTEmbedder,MLPClassifier,english,arabic,0.5344827586206896,0.5618786030944997,0.5344827586206896,0.5232166188324994
BERTEmbedder,MLPClassifier,english,portuguese,0.3988505747126437,0.41155866934286167,0.3988505747126436,0.35838586841072345
BERTEmbedder,MLPClassifier,german,english,0.5172413793103449,0.547455977467025,0.5172413793103449,0.49683889840815043
BERTEmbedder,MLPClassifier,german,german,0.5436781609195402,0.5533656280343009,0.5436781609195402,0.5440752990119949
BERTEmbedder,MLPClassifier,german,arabic,0.46436781609195404,0.5397788109173511,0.46436781609195404,0.4217211925015614
BERTEmbedder,MLPClassifier,german,portuguese,0.3896551724137931,0.3919635014818044,0.3896551724137931,0.3600199360557217
BERTEmbedder,MLPClassifier,arabic,english,0.4459770114942529,0.527891289744738,0.4459770114942529,0.3876096523876813
BERTEmbedder,MLPClassifier,arabic,german,0.37126436781609196,0.4064311599099708,0.371264367816092,0.32510890153181177
BERTEmbedder,MLPClassifier,arabic,arabic,0.46436781609195404,0.5001426149164984,0.464367816091954,0.4620801041244628
BERTEmbedder,MLPClassifier,arabic,portuguese,0.3873563218390805,0.40726768008306413,0.3873563218390805,0.35328306280115207
BERTEmbedder,MLPClassifier,portuguese,english,0.435632183908046,0.4287593984962406,0.435632183908046,0.36575983609358326
BERTEmbedder,MLPClassifier,portuguese,german,0.4,0.4250123462877393,0.39999999999999997,0.33564178246240095
BERTEmbedder,MLPClassifier,portuguese,arabic,0.39655172413793105,0.26385103729535886,0.39655172413793105,0.316766564706584
BERTEmbedder,MLPClassifier,portuguese,portuguese,0.4494252873563218,0.4896712729530068,0.4494252873563218,0.4076042396937496
BERTEmbedder,XLMRClassifierHead,english,english,0.5505747126436782,0.5912124695198633,0.5505747126436782,0.5304228997971907
BERTEmbedder,XLMRClassifierHead,english,german,0.4218390804597701,0.4308216593353094,0.4218390804597701,0.3742850255951129
BERTEmbedder,XLMRClassifierHead,english,arabic,0.5448275862068965,0.5364267036319997,0.5448275862068965,0.5307375617411397
BERTEmbedder,XLMRClassifierHead,english,portuguese,0.39770114942528734,0.3933275786393699,0.39770114942528734,0.3666307552250931
BERTEmbedder,XLMRClassifierHead,german,english,0.5298850574712644,0.5343615541244,0.5298850574712644,0.5256505542489305
BERTEmbedder,XLMRClassifierHead,german,german,0.5402298850574713,0.5485717362088239,0.5402298850574713,0.5398407093725947
BERTEmbedder,XLMRClassifierHead,german,arabic,0.46781609195402296,0.5096742118500321,0.4678160919540229,0.4443175216292179
BERTEmbedder,XLMRClassifierHead,german,portuguese,0.3896551724137931,0.3907593622719853,0.3896551724137931,0.3857714707275966
BERTEmbedder,XLMRClassifierHead,arabic,english,0.4942528735632184,0.5381330981330982,0.4942528735632184,0.4621513421087524
BERTEmbedder,XLMRClassifierHead,arabic,german,0.3758620689655172,0.38906007915891166,0.37586206896551727,0.35414231103918686
